Name,Position,Spiele,Tore,Tore pro spiel
Thomas Vogel,Angriff,13,0,0.00000
Martin Dahlin,Angriff,8,0,0.00000
Vanja Grubac,Angriff,7,1,0.14286
Marek Trejgis,Angriff,1,0,0.00000
Dirk Weetendorf,Angriff,1,0,0.00000
Mahmut Yilmaz,Angriff,1,0,0.00000
Thomas Ernst,Torwart,32,0,0.00000
Maik Kischko,Torwart,2,0,0.00000
Axel Sundermann,Abwehr,31,1,0.03226
Tomasz Waldoch,Abwehr,27,0,0.00000
Torsten Kracht,Abwehr,26,1,0.03846
Samir Toplak,Abwehr,23,1,0.04348
Michael Bemben,Abwehr,8,0,0.00000
Alen Petrovic,Abwehr,7,0,0.00000
Mirko Dickhaut,Abwehr,3,0,0.00000
Sebastian Schindzielorz,Mittelfeld,28,3,0.10714
Thomas Reis,Mittelfeld,25,5,0.20000
Maurizio Gaudino,Mittelfeld,20,2,0.10000
Frank Fahrenhorst,Mittelfeld,18,1,0.05556
Peter Peschel,Mittelfeld,16,2,0.12500
Viorel Ion,Mittelfeld,12,1,0.08333
Andreas Zeyer,Mittelfeld,11,3,0.27273
Olaf Schreiber,Mittelfeld,10,0,0.00000
Emir Dzafic,Mittelfeld,6,1,0.16667
Bj”rn Joppe,Mittelfeld,3,0,0.00000
Thomas Stickroth,Mittelfeld,3,0,0.00000
Delron Buckley,Angriff,33,5,0.15152
Yildiray Bastrk,Angriff,28,1,0.03571
Norbert Hofmann,Angriff,27,1,0.03704
Stefan Kuntz,Angriff,20,6,0.30000
Zdravko Drincic,Angriff,16,1,0.06250
Nesat Glnoglu,Angriff,12,0,0.00000
Mehdi Mahdavikia,Angriff,12,3,0.25000
Kai Michalke,Angriff,12,1,0.08333
Jan Majewski,Angriff,1,0,0.00000
Richard Golz,Torwart,34,0,0.00000
Stefan Mller,Abwehr,26,1,0.03846
Daniel Schumann,Abwehr,25,0,0.00000
Lars Hermel,Abwehr,24,0,0.00000
Torben Hoffmann,Abwehr,20,2,0.10000
Michael Frontzeck,Abwehr,17,0,0.00000
Boubacar Diarra,Abwehr,16,0,0.00000
Steffen Korell,Abwehr,16,1,0.06250
Mike Rietpietsch,Abwehr,13,0,0.00000
J”rn Schwinkendorf,Abwehr,5,0,0.00000
Damir Buric,Abwehr,1,0,0.00000
